feature,mean_abs_shap,signed_mean_shap
pen_up_ratio,0.41967270892320985,0.057113074111852395
abs_mean_slant,0.2992214472585425,0.010771523328069478
std_slant,0.08570521414082884,0.015461659724237891
aspect_ratio,0.05984675115625647,0.009006271857963148
duty_cycle,0.05270497361458136,0.018923652818556815
F1_in_air_time,0.0,0.0
F2_on_paper_time,0.0,0.0
F3_total_time,0.0,0.0
F4_stroke_count,0.0,0.0
p95_speed,0.0,0.0
median_speed,0.0,0.0
median_acceleration,0.0,0.0
path_length,0.0,0.0
direction_concentration,0.0,0.0
stop_ratio,0.0,0.0
dominant_angle,0.0,0.0
straightness,0.0,0.0
height,0.0,0.0
width,0.0,0.0
mean_pressure,0.0,0.0
mean_slant,0.0,0.0
ink_density,0.0,0.0
pen_up_path_length,0.0,0.0
median_pen_up_speed,0.0,0.0
p95_pen_up_speed,0.0,0.0
