feature,mean_abs_shap,signed_mean_shap
duty_cycle,0.3222468270314613,0.11570230774079747
aspect_ratio,0.2764149521858204,0.041597382596283664
height,0.19943434740621044,-0.0521590545174116
pen_up_ratio,0.1519609177034351,0.020680294358834363
median_acceleration,0.13988660880173795,0.014201562899332063
abs_mean_slant,0.03314526230461922,0.0011931797316009224
F1_in_air_time,0.0,0.0
F3_total_time,0.0,0.0
F2_on_paper_time,0.0,0.0
p95_speed,0.0,0.0
median_speed,0.0,0.0
path_length,0.0,0.0
F4_stroke_count,0.0,0.0
direction_concentration,0.0,0.0
dominant_angle,0.0,0.0
stop_ratio,0.0,0.0
straightness,0.0,0.0
mean_pressure,0.0,0.0
width,0.0,0.0
mean_slant,0.0,0.0
ink_density,0.0,0.0
std_slant,0.0,0.0
pen_up_path_length,0.0,0.0
median_pen_up_speed,0.0,0.0
p95_pen_up_speed,0.0,0.0
