feature,mean_abs_shap,signed_mean_shap
pen_up_ratio,0.948914920724996,0.12913741361038975
duty_cycle,0.7252683311013379,0.2604066591214221
median_acceleration,0.6103825189628381,0.0619672305301879
height,0.5807252193821999,-0.15187994832052049
aspect_ratio,0.47419122359355836,0.0713605164830624
abs_mean_slant,0.3419745028793792,0.012310569209256541
std_slant,0.3184370241546449,0.05744767060482171
p95_pen_up_speed,0.26016224549693556,-0.025613501621308956
p95_speed,0.03448629710700799,-0.003190624518220841
median_speed,0.0,0.0
path_length,0.0,0.0
F3_total_time,0.0,0.0
F4_stroke_count,0.0,0.0
F2_on_paper_time,0.0,0.0
F1_in_air_time,0.0,0.0
stop_ratio,0.0,0.0
straightness,0.0,0.0
mean_pressure,0.0,0.0
width,0.0,0.0
dominant_angle,0.0,0.0
direction_concentration,0.0,0.0
ink_density,0.0,0.0
mean_slant,0.0,0.0
median_pen_up_speed,0.0,0.0
pen_up_path_length,0.0,0.0
