feature,mean_abs_shap,signed_mean_shap
pen_up_ratio,1.7584358622653957,0.23930476198984588
median_acceleration,1.0586530791302737,0.10747653703685593
height,0.7860384839060129,-0.20557654520427185
aspect_ratio,0.49067774242214524,0.07384155459612562
std_slant,0.29393220247241425,0.05302687522787763
abs_mean_slant,0.27292298341789717,0.009824818072322413
F1_in_air_time,0.0,0.0
F4_stroke_count,0.0,0.0
F2_on_paper_time,0.0,0.0
p95_speed,0.0,0.0
median_speed,0.0,0.0
path_length,0.0,0.0
duty_cycle,0.0,0.0
F3_total_time,0.0,0.0
direction_concentration,0.0,0.0
stop_ratio,0.0,0.0
straightness,0.0,0.0
mean_pressure,0.0,0.0
width,0.0,0.0
dominant_angle,0.0,0.0
mean_slant,0.0,0.0
ink_density,0.0,0.0
pen_up_path_length,0.0,0.0
median_pen_up_speed,0.0,0.0
p95_pen_up_speed,0.0,0.0
